
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Rue du Hangar,Maison,,258300,,,,,0,,,,,, 1.98 are,,0, Bien neuf
 Tangehoefstraat 16,Maison,,259000,,,,,0,,,,,,,,0,
 Kapelsestraat 304,Maison,,259000,,,,,0,,,,1, 2.21 ares, 3.67 ares,,0,
 Dolfijnstraat 39,Maison,,259000,,,,,0,,,,,, 1.91 are,,0, Bien neuf
 Rue Criquelions 38,Maison,,260000,,,,,0,,,,1, 13.99 ares, 15.92 ares,,0,
 Essex Scottishlaan 83,Appartement,,260000,,,,,0,,,,,,,,0,
 Ernest Solvaystraat 75-77,Maison,,260000,,,,,0,,,,,, 3.36 ares,,0, Bien neuf
 Volkaardstraat 12,Maison,,260000,,,,,0,,,,,, 2.27 ares,,0, Bien neuf
 Volkaardstraat 12,Maison,,260000,,,,,0,,,,,, 2.27 ares,,0, Bien neuf
 Kerkplein 3,Maison,,263000,,,,,0,,,,,, 3.11 ares,,0,
,Maison,,265000,,,,,,,,,,, 14.17 ares,,0, Besoin de travaux
 Waregemstraat 524,Maison,,265000,,,,,0,,,,,, 4.56 ares,,0, Bien neuf
 Bloemistenstraat 4,Maison,,265000,,,,,0,,,,,, 3.59 ares,,0,
 Friulilaan 3,Appartement,,265000,,1,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,269000,,,,,0,,,,,,,,0,
 Karel Janssenslaan 41,Appartement,,269000,,,,,0,,,,,,,,0,
 stationplein 25,Appartement,,269000,,,,,0,,,,,,,,0,
 Aisne 40,Maison,,270000,,,,,0,,,,,,,,0,
 Rue du Hangar,Maison,,271100,,,,,0,,,,,, 1.8 are,,0, Bien neuf
 Rue du Hangar,Maison,,272600,,,,,0,,,,,, 3.96 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,273400,,,,,0,,,,,, 3.23 ares,,0, Bien neuf
 Rue du Hangar,Maison,,274800,,,,,0,,,,,, 2.93 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,275000,,,,,0,,,,,, 3.57 ares,,0, Bien neuf
 Zultseweg 62,Appartement,,275000,,,,,0,,,,,,,,0,
,Maison,,275000,,,,,0,,,,,, 4.21 ares,,0,
 Rue Val de Mehaigne 2,Appartement,,275000,,,,,0,,,,,,,,0,
